ID,question,answer,options,correct_option,path,condition,label,modifications
2,"A 70-year-old patient presents with resting tremor, bradykinesia, and rigidity, leading to a suspected diagnosis of Parkinson's disease. After initial evaluation, levodopa is prescribed. If the patient's condition progresses despite this treatment, which of the following underlying pathologies is most likely?",Striatonigral degeneration,"['Progressive supranuclear palsy', 'Multiple system atrophy', 'Corticobasal degeneration', 'Striatonigral degeneration', 'Lewy body dementia']",D,"History, Physical examination -> Levodopa initiated -> Poor response suggests atypical parkinsonism -> Consistent with striatonigral degeneration",parkinson’s disease,0,No change.
3,"A 68-year-old patient presents with a recent diagnosis of idiopathic Parkinson's disease. After evaluation, treatment is initiated. Considering the patient's age and the goal of minimizing cognitive side effects, which of the following would be the MOST appropriate initial therapeutic approach?",Initiate treatment with levodopa/carbidopa.,"['Initiate treatment with levodopa/carbidopa.', 'Begin with amantadine monotherapy.', 'Prescribe bromocriptine.', 'Start with ropinirole.', 'Start with high dosages of coenzyme Q10.']",A,"History, Physical examination -> Diagnosis of idiopathic PD -> Elderly patient -> Levodopa/carbidopa minimizes cognitive side effects",parkinson’s disease,0,No change.
4,"A 68-year-old male presents with a resting tremor, bradykinesia, and rigidity, consistent with Parkinson's disease. He is started on levodopa/carbidopa, but his symptoms remain inadequately controlled, leading to significant disability. What is the next appropriate step in managing his Parkinson's disease?",Add a dopamine agonist to the levodopa/carbidopa regimen.,"['Add a dopamine agonist to the levodopa/carbidopa regimen.', 'Start amantadine to manage dyskinesias.', 'Initiate deep brain stimulation (DBS).', 'Add a COMT inhibitor such as entacapone.', 'Increase the dose of levodopa/carbidopa.']",A,"History, Physical examination -> Levodopa initiated -> Inadequate symptom control -> Adjunct therapy with a dopamine agonist is indicated",parkinson’s disease,0,No change.
5,"A 62-year-old male presents with a recent diagnosis of idiopathic Parkinson's disease. Initial treatment with levodopa effectively managed his symptoms. However, he now experiences persistent symptoms causing disability despite optimized levodopa dosage. What is the MOST appropriate next step in managing his Parkinson's disease?",Add a COMT inhibitor to the levodopa/carbidopa regimen.,"['Increase the dosage of levodopa/carbidopa', 'Refer the patient for deep brain stimulation (DBS) evaluation', 'Initiate treatment with selegiline for potential neuroprotective benefits', 'Discontinue Levodopa and add Dopamine Agonists', 'Add a COMT inhibitor to the levodopa/carbidopa regimen']",E,"History, Physical examination -> Levodopa given at optimal doses -> Persistent symptoms -> Adjunct therapy with a COMT inhibitor prolongs levodopa effect",parkinson’s disease,1,Changed correct answer from “Discontinue Levodopa and add Dopamine Agonists” to “Add a COMT inhibitor to the levodopa/carbidopa regimen.”
6,"A 68-year-old male with a 10-year history of Parkinson's disease is experiencing disabling motor fluctuations and dyskinesias despite being on levodopa/carbidopa. After evaluation, the physician decides to change the treatment. Which of the following is the MOST appropriate next step in managing this patient's medication?",Continue levodopa/carbidopa at the same dose and add amantadine.,"['Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy.', 'Increase the dose of levodopa/carbidopa.', 'Reduce the dose of levodopa/carbidopa and add a COMT inhibitor.', 'Continue levodopa/carbidopa at the same dose and add amantadine.', 'Refer the patient for deep brain stimulation (DBS) surgery.']",D,"History, Physical examination -> Levodopa initiated -> Advanced PD with motor fluctuations/dyskinesias -> Maintain levodopa and add amantadine to manage dyskinesias",parkinson’s disease,1,Changed correct answer from “Discontinue levodopa/carbidopa and initiate dopamine agonist monotherapy” to “Continue levodopa/carbidopa at the same dose and add amantadine.”
7,"A 45-year-old male presents to the clinic with recurrent episodes of noncardiac chest pain. His ECG, cardiac enzymes, and coronary angiogram are normal. Despite a 14-day double-dose PPI trial, his symptoms persist; endoscopy is normal and provocative testing is negative. What is the MOST appropriate next step in managing his chest pain?",Perform 24-hour pH monitoring to correlate chest pain events with reflux events.,"['Order an esophageal manometry to assess for motility disorders.', 'Initiate a trial of anti-anxiety medication.', 'Refer the patient for a psychiatric evaluation.', 'Perform 24-hour pH monitoring to correlate chest pain events with reflux events.', 'Prescribe a calcium channel blocker to treat possible microvascular angina.']",D,Noncardiac chest pain -> PPI trial failed -> Endoscopy and provocative testing negative -> 24-hour pH monitoring is indicated to detect reflux correlation,noncardiac chest pain,0,No change.
8,"A 55-year-old male with a history of noncardiac chest pain and normal coronary arteries has not improved after a 14-day double-dose PPI trial, endoscopy, and further testing showing normal pH and manometry. What is the MOST appropriate next step in evaluating the cause of his chest pain?","Perform provocative testing (Bernstein, Tensilon, Balloon Distention).","['Perform provocative testing (Bernstein, Tensilon, Balloon Distention).', 'Administer a calcium channel blocker.', 'Prescribe a tricyclic antidepressant.', 'Initiate a trial of nitroglycerin.', 'Repeat the endoscopy with biopsy.']",A,"Noncardiac chest pain with normal PPI, endoscopy, pH, and manometry results -> Provocative testing is used to assess esophageal hypersensitivity",noncardiac chest pain,0,No change.
9,"A 45-year-old woman with a history of anxiety presents with recurrent noncardiac chest pain. Her coronary workup is normal, and after a failed 14-day double-dose PPI trial and a negative endoscopy with provocative testing, what is the next appropriate step in managing her condition?",Reassure the patient.,"['Repeat the endoscopy with biopsy', 'Reassure the patient', 'Initiate a trial of calcium channel blockers', 'Prescribe a tricyclic antidepressant', 'Perform ambulatory pH monitoring']",B,Noncardiac chest pain -> Normal workup and negative provocative tests -> Esophageal cause unlikely -> Reassurance is the appropriate next step,noncardiac chest pain,0,No change.
10,A 55-year-old woman with hypertension is found to have a 5 cm adrenal incidentaloma on CT performed for unrelated reasons. She denies any symptoms of hormone excess. What is the most appropriate next step in management?,Resection of the adrenal mass.,"['Aldosterone-to-renin ratio measurement', 'Fine needle aspiration of the mass', 'Metanephrine testing', 'Resection of the adrenal mass', 'Observation with serial imaging']",D,Adrenal incidentaloma >4 cm carries a higher risk of malignancy -> Resection is recommended,adrenal incidentaloma,0,No change.
11,"A 54-year-old woman presents with persistent hip pain that started insidiously a few months ago, with no history of trauma. Radiographs are normal. What is the most appropriate next step in management?","Further imaging with MRI, CT, or bone scan.","['Recommend hip joint aspiration', 'Prescribe opioid pain medication', 'Further imaging with MRI, CT, or bone scan.', 'Initiate physical therapy and NSAIDs', 'Order an electromyography (EMG)']",C,"Hip pain with normal radiographs -> Advanced imaging (MRI, CT, or bone scan) is needed to detect occult pathology",hip pain,0,No change.
12,"A 54-year-old woman presents with atraumatic hip pain that has progressively worsened over the past few weeks. Radiographs show no fractures or dislocations, and the diagnosis remains uncertain. What is the MOST appropriate next step in management?",Order a bone scan.,"['Initiate physical therapy', 'Refer to rheumatology for further evaluation', 'Order a bone scan', 'Prescribe NSAIDs and monitor response', 'Consider image-guided hip aspiration']",C,Atraumatic hip pain with normal radiographs -> No clear signs of infection -> A bone scan is a noninvasive next step to evaluate for occult pathology,hip pain,1,Changed correct answer from “Consider image-guided hip aspiration” to “Order a bone scan.”
13,A 54-year-old woman presents with atraumatic hip pain that has progressively worsened over the past few weeks. Radiographs are inconclusive. What is the MOST appropriate next step in management?,Consider image-guided hip aspiration.,"['Initiate physical therapy', 'Refer to rheumatology for further evaluation', 'Order a bone scan', 'Prescribe NSAIDs and monitor response', 'Consider image-guided hip aspiration']",E,"Atraumatic hip pain with inconclusive radiographs -> When clinical suspicion for joint pathology persists (e.g., infection) -> Image-guided hip aspiration is indicated",hypoglycemia,0,No change.
14,"A 50-year-old woman with a history of bariatric surgery presents with sweating, anxiety, and palpitations approximately 2 hours after meals. Her blood glucose at the time of symptoms is 55 mg/dL. What is the MOST likely next step in management?",Recommend frequent small meals with a focus on complex carbohydrates and protein.,"['Prescribe a continuous glucose monitor to track glucose fluctuations.', 'Recommend frequent small meals with a focus on complex carbohydrates and protein.', 'Administer intravenous dextrose during symptomatic episodes.', 'Consider surgical options to address postprandial hypoglycemia.', 'Initiate treatment with acarbose to delay carbohydrate absorption.']",B,Symptoms -> Confirm glucose <60 mg/dL -> Diagnosis: Postprandial hypoglycemia after bariatric surgery -> First-line treatment is dietary modification -> Recommend frequent small meals with complex carbohydrates and protein.,hypoglycemia,1,Changed correct answer from “Consider surgical options” to “Recommend frequent small meals with a focus on complex carbohydrates and protein.”
15,"A 55-year-old male with no known history of diabetes reports experiencing sweating, tremors, and anxiety approximately 2 hours after meals. A recent blood glucose test taken during one of these episodes showed a level of 58 mg/dL. What is the most likely underlying cause of this patient's hypoglycemia?",Early diabetes mellitus,"['Early diabetes mellitus', 'Insulinoma', 'Ethanol-induced hypoglycemia', 'Advanced liver failure', 'Adrenal insufficiency']",A,Symptoms -> Confirm glucose <60 mg/dL -> Postprandial hypoglycemia -> Likely reactive hypoglycemia seen in early diabetes mellitus.,hypoglycemia,0,No change.
16,"A 52-year-old patient is admitted to the hospital with a suspected skin infection. The patient is stable and does not appear critically ill. According to guidelines for choosing appropriate antimicrobial therapy, what is the most appropriate next step in management?",Await culture results before starting antimicrobial therapy.,"['Start empiric broad-spectrum antibiotics immediately.', 'Administer a dose of vancomycin.', 'Prescribe an oral antibiotic based on the most common skin pathogens.', 'Start empiric therapy with a narrow-spectrum antibiotic.', 'Await culture results before starting antimicrobial therapy.']",E,Patient with suspected skin infection but stable -> Low likelihood of severe infection -> Cultures should be obtained and therapy guided by definitive results.,choosing appropriate antimicrobial therapy,0,No change.
17,"A 52-year-old male with a history of intravenous drug use presents to the emergency department with fever, chills, and a new heart murmur. Blood cultures are drawn, and empiric antimicrobial therapy is initiated. According to guidelines for antimicrobial therapy, what is the MOST important next step in managing this patient?",Assess cultures,"['Evaluate patient-specific factors', 'Obtain body fluids for staining, culture', 'Determine agents most likely to be effective', 'Assess cultures', 'Choose regimen and dose']",D,Patient with suspected endocarditis -> Empiric therapy initiated -> Next step is to assess culture results to tailor treatment.,choosing appropriate antimicrobial therapy,0,No change.
18,"A 53-year-old male with a history of intravenous drug use is admitted with suspected endocarditis. After blood cultures are drawn, empiric antimicrobial therapy is initiated. Considering antimicrobial stewardship principles, what is the MOST appropriate next step in managing his antibiotic regimen?",Transition to oral antibiotics as soon as the patient is stable and has adequate GI function.,"['Continue the current empiric therapy until culture results are available.', 'Transition to oral antibiotics as soon as the patient is stable and has adequate GI function.', 'Discontinue antibiotics after 72 hours if the patient shows no improvement.', 'Immediately switch to a narrow-spectrum antibiotic based on the Gram stain results.', 'Add a second antibiotic to broaden the coverage due to the severity of the infection.']",B,"Patient with endocarditis -> After stabilization and improvement, switching to oral therapy is consistent with stewardship principles.",choosing appropriate antimicrobial therapy,0,No change.
19,A 45-year-old man with a history of hypertension is found to have a persistent positive urine dipstick for protein during a routine check-up. A subsequent 24-hour urine collection reveals a protein excretion of 4.0 g/day. What is the MOST appropriate next step in managing this patient?,Referral to a nephrologist for further evaluation and possible renal biopsy.,"['Referral to a nephrologist for further evaluation and possible renal biopsy.', 'Repeat the 24-hour urine collection to confirm the result.', 'Order a renal ultrasound to evaluate for structural abnormalities.', 'Prescribe a low-protein diet and reassess in 3 months.', 'Initiate treatment with an ACE inhibitor and monitor proteinuria.']",A,"Significant proteinuria (4.0 g/day) indicates nephrotic-range proteinuria -> Further evaluation, including possible biopsy, is warranted.",proteinuria,0,No change.
20,"A 55-year-old woman presents with an enlarged thyroid gland (goiter) noted on exam. Her TSH and FT4 levels are normal. A dominant thyroid nodule of 4.5 cm is palpated, and she reports occasional difficulty swallowing. What is the most appropriate next step in management?",Consider surgical removal of the goiter.,"['Perform a fine needle aspiration (FNA) of the thyroid nodule.', 'Monitor TSH levels annually and observe for further growth.', 'Initiate thyroid hormone suppression therapy with levothyroxine.', 'Prescribe radioactive iodine (131I) therapy.', 'Consider surgical removal of the goiter.']",E,Thyroid nodule >4 cm in a euthyroid patient with compressive symptoms -> Surgical removal is recommended due to increased malignancy risk and FNA limitations.,goiter,0,No change.
21,"A 34-year-old woman presents to her physician with persistent bilateral nipple discharge. Her history is unremarkable, and she denies recent pregnancy or medication use. A fat stain test confirms the presence of milk fat in the discharge. TSH and prolactin levels are normal. What is the most appropriate next step in managing this patient?","Follow by yearly measurements of prolactin, and consider GH level if indicated.","['Order a breast ultrasound to evaluate for structural abnormalities', 'Obtain an MRI to rule out a pituitary mass', 'Prescribe dopamine agonists to suppress prolactin secretion', 'Follow by yearly measurements of prolactin, and consider GH level if indicated.', 'Perform galactography to visualize intraductal papillomas']",D,Patient with galactorrhea and normal endocrine workup -> Conservative management with periodic follow-up is appropriate.,nipple discharge,0,No change.
22,"A 35-year-old woman presents with spontaneous, unilateral nipple discharge. She denies recent pregnancy but reports taking an antidepressant for the past year. After a thorough history, what is the MOST appropriate next step in evaluating her nipple discharge?",Perform a fat stain test on the discharge.,"['Perform a fat stain test on the discharge.', 'Order a mammogram', 'Measure serum prolactin levels', 'Schedule a galactography', 'Prescribe a course of antibiotics']",A,Initial evaluation of nipple discharge includes a fat stain test to differentiate galactorrhea from other etiologies.,nipple discharge,0,No change.
23,"A 45-year-old woman presents with persistent, spontaneous nipple discharge from her right breast. A fat stain test is negative, and no palpable mass is found on exam. What is the MOST appropriate next step in management?",Perform mammography.,"['Perform mammography', 'Perform galactography', 'Measure serum prolactin and TSH levels', 'Reassurance and observation', 'Surgical evaluation and biopsy']",A,"In the absence of galactorrhea and a palpable mass, imaging with mammography is indicated to evaluate for underlying pathology.",nipple discharge,0,No change.
24,"A 70-year-old male presents to the emergency department with fever, cough, and altered mental status. He has diabetes and a recent hospitalization for pneumonia. His vital signs include T 38.5°C, HR 110 bpm, RR 24, BP 90/60 mmHg, and SpO2 92% on room air. After initial sepsis assessment, what is the MOST appropriate next step in management?",Obtain blood cultures from two separate sites and a chest radiograph to identify the source of infection.,"['Immediately start empiric broad-spectrum antibiotics.', 'Obtain blood cultures from two separate sites and a chest radiograph to identify the source of infection.', 'Insert a central venous catheter to monitor central venous pressure (CVP).', 'Check cortisol levels and administer replacement corticosteroids if indicated.', 'Administer a bolus of intravenous crystalloid fluids.']",B,Septic patient with signs of infection -> Next step is to identify the source by obtaining cultures and imaging.,sepsis,0,No change.
25,"A 70-year-old male with hypertension and type 2 diabetes is admitted to the ICU with suspected sepsis. He initially presented with fever, altered mental status, and hypotension, and remains hypotensive on vasopressors. What is the MOST appropriate next step in managing this patient?","Continue intensive monitoring and management, including checking cortisol levels, aggressive glycemic control, and correcting anemia.","['Order a CT scan of the abdomen to rule out intra-abdominal abscess.', 'Administer a bolus of intravenous fluids and reassess blood pressure.', 'Discontinue vasopressors and monitor for improvement in blood pressure.', 'Continue intensive monitoring and management, including checking cortisol levels, aggressive glycemic control, and correcting anemia, while considering activated protein C if bleeding risk is low.', 'Obtain blood cultures and start empiric antibiotic therapy.']",D,"After initial resuscitation in sepsis, continued supportive management with monitoring of cortisol, glycemic control, and correction of anemia is indicated. Activated protein C is no longer recommended; the answer has been revised accordingly.",sepsis,1,Changed answer by removing “while considering activated protein C if bleeding risk is low.”
26,"A 70-year-old male presents to the emergency department with fever, confusion, and rapid breathing. He has a history of diabetes and a recent urinary tract infection. Initial assessment reveals a blood pressure of 90/60 mmHg, heart rate of 110 bpm, and a temperature of 38.5°C. Based on the initial assessment, what is the most appropriate next step in managing this patient?",Initiate broad-spectrum antibiotics within 60 minutes and obtain blood cultures from two separate sites.,"['Obtain a detailed medical history from family members.', 'Initiate broad-spectrum antibiotics within 60 minutes and obtain blood cultures from two separate sites.', 'Administer a bolus of intravenous fluids and reassess blood pressure.', 'Administer antipyretics to reduce the fever.', 'Order a CT scan of the abdomen to rule out intra-abdominal infection.']",B,Initial assessment reveals signs of sepsis -> Prompt antimicrobial therapy is indicated -> Obtain cultures to guide treatment,sepsis,0,No change.
27,"A 58-year-old male with a history of benign prostatic hyperplasia presents to the emergency department with complete anuria for 24 hours. His abdomen is distended and tender. After initial stabilization, what is the most appropriate next step in the diagnostic evaluation?","Perform a renal ultrasound with Doppler study, followed by a Technetium perfusion scan if indicated, to assess for obstruction.","['Insert a Foley catheter to relieve potential bladder outlet obstruction.', 'Immediately proceed with hemodialysis to manage the electrolyte imbalances.', 'Administer intravenous fluids to improve renal perfusion.', 'Perform a renal ultrasound with Doppler study, followed by a Technetium perfusion scan if indicated, to assess for obstruction.', 'Order a CT scan of the abdomen and pelvis with contrast to evaluate for kidney stones.']",D,"After initial stabilization, evaluation for obstructive causes of anuria in a patient with BPH is essential.",acute renal failure,0,No change.
28,"A 55-year-old male with a history of hypertension and diabetes presents to the emergency department with anuria for the past 24 hours. Initial labs show elevated creatinine and BUN. After catheter placement, there is still no urine output. Which is the MOST appropriate next step in evaluating this patient's acute renal failure?",Perform renal ultrasound with Doppler study and Technetium perfusion scan.,"['Initiate intravenous fluids', 'Administer a loop diuretic', 'Perform renal ultrasound with Doppler study and Technetium perfusion scan', 'Order serology tests', 'Renal biopsy']",E,"Initial workup for anuria should start with noninvasive imaging; if the ultrasound and perfusion scan are negative, further evaluation (including serology and biopsy) may be warranted.",acute renal failure,1,Changed correct answer from “Renal biopsy” to “Perform renal ultrasound with Doppler study and Technetium perfusion scan.”
29,"A 70-year-old male presents with anuria following a hypotensive episode during surgery. Despite initial resuscitation, urine output remains absent. After stabilization, what is the MOST appropriate next step in evaluating his acute renal failure?",Perform a renal ultrasound with Doppler study followed by a Technetium perfusion scan; a negative scan suggests severe ATN.,"['Administer a fluid bolus to assess for volume responsiveness.', 'Perform a renal ultrasound with Doppler study followed by a Technetium perfusion scan; a negative scan suggests severe ATN.', 'Immediately initiate hemodialysis due to the anuria.', 'Insert a Foley catheter to rule out urinary retention.', 'Order a CT scan of the abdomen and pelvis to evaluate for obstruction.']",B,"After initial stabilization in a post-hypotensive patient with anuria, imaging is necessary to differentiate between obstructive and intrinsic renal causes.",acute renal failure,0,No change.
30,"A 70-year-old male presents with anuria following a hypotensive episode during surgery. To differentiate between potential causes of acute renal failure, what is the most appropriate next step in the diagnostic workup?","Perform a renal ultrasound with Doppler study and Technetium perfusion scan to rule out renal vascular occlusion, and if negative, suspect severe RPGN requiring biopsy.","['Administer a fluid bolus to rule out pre-renal azotemia.', 'Insert a Foley catheter to rule out urinary retention.', 'Perform a renal ultrasound with Doppler study and Technetium perfusion scan to rule out renal vascular occlusion, and if negative, suspect severe RPGN requiring biopsy.', 'Order a CT scan of the abdomen and pelvis to rule out nephrolithiasis.', 'Immediately initiate empiric antibiotic therapy for presumed pyelonephritis.']",C,"This step uses noninvasive imaging to exclude vascular causes; if negative, further evaluation for intrinsic renal pathology (such as RPGN) is indicated.",acute renal failure,0,No change.
31,"A 58-year-old male with a history of benign prostatic hyperplasia presents with anuria. Urinalysis shows white blood cells and WBC casts, and the urine culture is positive. What is the most likely cause of his acute renal failure?",Acute tubular necrosis.,"['Postrenal obstruction', 'Allergic interstitial nephritis', 'Glomerulonephritis', 'Acute tubular necrosis', 'Prerenal azotemia']",D,The presence of WBC casts and a positive culture in a patient with BPH suggests an infection-related injury leading to ATN rather than simple prerenal azotemia.,acute renal failure,1,Changed correct answer from “Prerenal azotemia” to “Acute tubular necrosis.”
32,"A 55-year-old male presents with anuria. Urinalysis reveals bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, and FeNa <1%. Initial workup is negative. Which is the MOST likely diagnosis?",Prerenal azotemia.,"['Prerenal azotemia', 'Glomerulonephritis', 'Postrenal obstruction', 'Acute tubular necrosis (ATN)', 'Acute interstitial nephritis (AIN)']",A,"These laboratory findings (high UOsm, low UNa, low FeNa, bland casts) are classic for prerenal azotemia.",acute renal failure,1,Changed correct answer from “Acute interstitial nephritis (AIN)” to “Prerenal azotemia.”
33,"A 58-year-old male presents with anuria following a prolonged period of hypotension. Urinalysis reveals muddy brown casts, pigmented casts, and tubular epithelial cell casts, with UOsm <350 mOsm/kg, UNa >40 mEq/L, and FeNa >1%. The dipstick is heme positive, but no RBCs are seen. Which is the most likely underlying cause of his acute renal failure?",Rhabdomyolysis.,"['Glomerulonephritis', 'Drug-induced allergic interstitial nephritis (AIN)', 'Acute tubular necrosis (ATN)', 'Prerenal azotemia', 'Rhabdomyolysis']",E,"The findings (muddy brown casts, high UNa, low UOsm, heme positive without RBCs) strongly indicate ATN secondary to myoglobinuria from rhabdomyolysis.",acute renal failure,0,No change.
34,"A 54-year-old woman with a history of recurrent UTIs presents with anuria. Urinalysis shows bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, and FeNa <1%. What is the most likely diagnosis?",Prerenal azotemia.,"['Glomerulonephritis', 'Acute Tubular Necrosis', 'Drug-induced interstitial nephritis', 'Pyelonephritis', 'Prerenal Azotemia']",E,"The laboratory values (bland casts, high UOsm, low UNa, low FeNa) are most consistent with prerenal azotemia, not pyelonephritis.",acute renal failure,1,Changed correct answer from “Pyelonephritis” to “Prerenal Azotemia.”
35,"A 55-year-old male with anuria presents with urinalysis showing bland or hyaline casts, UOsm >500 mOsm/kg, UNa <20 mEq/L, and FeNa <1%. Initial workup is negative. Which is the most likely diagnosis?",Prerenal azotemia.,"['Prerenal azotemia', 'Glomerulonephritis', 'Postrenal obstruction', 'Acute tubular necrosis (ATN)', 'Acute interstitial nephritis (AIN)']",A,These findings are typical for prerenal azotemia.,transfusion reactions,1,Changed correct answer from “Acute interstitial nephritis (AIN)” to “Prerenal azotemia.”
36,"A 62-year-old patient with a history of multiple transfusions develops a suspected transfusion reaction with fever and chills during a blood transfusion. Initial investigations, including a DAT, are negative, and there is no visible hemolysis. The reaction occurred more than 24 hours post-transfusion. What is the MOST appropriate next step in managing this patient?","Maintain blood pressure and renal perfusion with intravenous fluids, potentially with diuretics.","['Immediately administer epinephrine to treat a potential anaphylactic reaction.', 'Maintain blood pressure and renal perfusion with intravenous fluids, potentially with diuretics.', 'Administer acetaminophen to manage the fever.', 'Restart the transfusion at a slower rate after antihistamine administration.', 'Perform leukoreduction of future blood products to prevent febrile non-hemolytic transfusion reactions.']",B,"After a delayed transfusion reaction with negative DAT and no hemolysis, supportive care to maintain perfusion is appropriate.",transfusion reactions,0,No change.
37,"A 54-year-old patient undergoing a blood transfusion suddenly develops fever and chills. The transfusion is stopped and the blood bank notified. A fresh sample is drawn, and the DAT is negative with no visible hemolysis. What is the MOST appropriate next step in managing this patient?",Order blood cultures and start empiric antibiotics.,"['Administer acetaminophen for fever management.', 'Order blood cultures and start empiric antibiotics.', 'Obtain a chest X-ray to evaluate for transfusion-related acute lung injury (TRALI).', 'Administer intravenous fluids and diuretics to support renal perfusion.', 'Restart the transfusion at a slower rate after antihistamine administration.']",B,"The presence of fever after a transfusion with negative hemolysis studies raises concern for sepsis; thus, blood cultures and empiric antibiotics are warranted.",transfusion reactions,0,No change.
38,"A 58-year-old patient with a history of hematologic malignancy develops a suspected transfusion reaction during a platelet transfusion, presenting with fever and chills. Initial workup is negative (DAT negative, no hemolysis). Which is the MOST appropriate next step in preventing future similar reactions in this patient?",Provide irradiated blood products for future transfusions.,"['Pretreat with corticosteroids before future transfusions', 'Provide irradiated blood products for future transfusions', 'Administer antihistamines prior to future transfusions', 'Administer acetaminophen prior to future transfusions', 'Use leukoreduced blood products for all future transfusions']",B,"For patients at risk of transfusion-associated complications, providing irradiated blood products helps prevent future reactions.",snake venom poisoning,0,No change.
39,"A 5-year-old male presents with an isolated prolonged PT on routine preoperative testing. He has no known history of bleeding, and his family history is unremarkable. Initial coagulation tests are repeated with an equal mixture of the patient's plasma and normal plasma, which corrects the PT. What is the most likely underlying cause of the patient's coagulation abnormality?",Factor VII deficiency,"['Heparin contamination', 'Vitamin K deficiency', 'Lupus anticoagulant', 'Factor VIII deficiency', 'Factor VII deficiency']",E,"Prolonged clotting times -> No bleeding history -> Mixing study corrects PT, indicating factor deficiency in the extrinsic pathway -> Factor VII deficiency",coagulation abnormalities,2,Changed question to indicate isolated prolonged PT.
40,A 58-year-old woman with no prior history of bleeding or clotting problems is found to have prolonged PT and PTT during routine preoperative testing. Mixing studies with normal plasma fail to correct the prolonged PT and PTT. What is the MOST likely underlying cause?,Specific factor antibody,"['Vitamin K deficiency', 'Factor VIII deficiency', 'Factor VII deficiency', 'Lupus anticoagulant', 'Specific factor antibody']",E,Prolonged clotting times -> Repeating test with mixing study -> No correction indicates an inhibitor (specific factor antibody),coagulation abnormalities,0,No change.
41,A 25-year-old male presents to the emergency department with a prolonged PTT detected during routine pre-operative testing. He denies any personal or family history of bleeding disorders. Initial mixing studies correct the PTT. What is the most likely underlying cause of his prolonged PTT?,Factor VIII deficiency,"['Factor VIII deficiency', 'Lupus anticoagulant', 'Vitamin K deficiency', 'Factor VII deficiency', 'Heparin contamination']",A,Prolonged PTT that corrects on mixing suggests an inherited factor deficiency (most likely Factor VIII deficiency),coagulation abnormalities,0,No change.
42,"A 55-year-old male with a history of recurrent infections and fatigue presents to the clinic. A complete blood count reveals a WBC count of 3000 cells/mm³, indicating leukopenia. Following the initial evaluation, what is the MOST appropriate next step in managing this patient?",Obtain cultures and start broad-spectrum antibiotics immediately.,"['Obtain cultures and start broad-spectrum antibiotics immediately.', 'Monitor the patient with serial blood counts to document the neutropenic pattern.', 'Initiate treatment with colony-stimulating factors (G-CSF).', 'Order a bone marrow biopsy and aspirate immediately.', 'Prescribe a course of corticosteroids to stimulate WBC production.']",A,Patient with leukopenia and signs of infection -> Acute infection treatment with cultures and antibiotics is indicated.,leukopenia,0,No change.
43,"A 55-year-old male presents with a persistent low white blood cell count (WBC 3200/mm³) discovered during a routine check-up. Physical examination reveals no signs of infection, adenopathy, or splenomegaly; labs show normal hemoglobin, hematocrit, and platelets. What is the MOST appropriate next step in evaluating his leukopenia?",Refer the patient to a hematologist for further evaluation of a potential primary hematologic disorder.,"['Discontinue any recently started medications and monitor WBC counts.', 'Refer the patient to a hematologist for further evaluation of a potential primary hematologic disorder.', 'Order a bone marrow biopsy and aspirate.', 'Prescribe a course of broad-spectrum antibiotics.', 'Initiate a comprehensive infection workup, including bacterial, viral, fungal, and mycobacterial cultures and serologies.']",E,Asymptomatic leukopenia with normal other counts -> Evaluation for primary hematologic disorder is appropriate -> Referral to hematology.,leukopenia,1,Changed correct answer to “Refer the patient to a hematologist for further evaluation.”
44,"A 34-year-old female patient reports decreased libido and difficulty achieving orgasm. She denies any medical conditions or medication use but admits feeling overwhelmed with work and family responsibilities. After a detailed history and physical examination, what is the MOST appropriate next step in managing her sexual dysfunction?","Refer the patient to a psychiatrist for further evaluation and treatment, as psychological factors may be contributing to her hypoactive sexual desire.","['Recommend over-the-counter lubricants to alleviate any potential discomfort during intercourse.', 'Advise the patient to engage in regular exercise and stress-reduction techniques.', 'Prescribe a trial of testosterone replacement therapy to address potential androgen deficiency.', 'Suggest sex therapy to address potential relationship or intimacy issues.', 'Refer the patient to a psychiatrist for further evaluation and treatment, as psychological factors may be contributing to her hypoactive sexual desire.']",E,History and exam indicate psychological factors affecting sexual desire -> Psychiatric evaluation is warranted.,sexual dysfunction,0,No change.
45,"A 52-year-old male patient reports a decreased libido during a routine check-up. He denies any other symptoms, and his physical examination is unremarkable. What is the most appropriate next step in managing his condition?",Consider marital/sex therapy to address potential relationship problems.,"['Consider marital/sex therapy to address potential relationship problems.', 'Prescribe an SSRI to address potential depression.', 'Refer to urology for evaluation of retrograde ejaculation.', 'Initiate testosterone replacement therapy.', 'Check testosterone level for organic impotence.']",A,Decreased libido in an otherwise asymptomatic male -> Relationship issues may be contributing -> Marital/sex therapy is appropriate.,sexual dysfunction,0,No change.
46,"A 55-year-old male patient reports erectile dysfunction during a routine check-up. He mentions that he still experiences morning erections. After a detailed history and physical examination, what is the most appropriate next step in managing his erectile dysfunction?",Sex therapy,"['Psychiatric evaluation', 'Sex therapy', 'Referral to urology', 'Prescription of a PDE5 inhibitor', 'Testosterone replacement therapy']",B,ED with preserved morning erections suggests a psychogenic component -> Sex therapy is the appropriate initial step.,sexual dysfunction,0,No change.
